id,path,desc,cover_price,insert_price,available,title,etsy,print_price
1,./images/cushions/BW/BWMain.jpg,"A Digitally Printed Waterproof Garden Cushion in Haus of Daisy exclusive print. Made to help you create the outdoor space of your dreams, and add a touch of luxury to your outdoor seating area.The cushion covers are made from a Oxford Waterproof Polyester, which means they are water repellant and can be left outside year round. The cushion covers are made to fit cushions that are 18x18 inch (45x45cm). The covers themselves measure approximately 17x17 inches, so have a nice plump finish when the cushion is inside. The cushion cover has an envelope style fastening.",14,19,Y,Monochrome Waterproof Garden Cushion,https://www.etsy.com/uk/listing/824891356/monochrome-waterproof-garden-cushion?ref=shop_home_active_2&frs=1,NA
2,./images/cushions/DP/DPMain.jpg,"A Digitally Printed Waterproof Garden Cushion in Haus of Daisy exclusive print. Made to help you create the outdoor space of your dreams, and add a touch of luxury to your outdoor seating area. The cushion covers are made from a Oxford Waterproof Polyester, which means they are water repellant and can be left outside year round. The cushion covers are made to fit cushions that are 18x18 inch (45x45cm). The covers themselves measure approximately 17x17 inches, so have a nice plump finish when the cushion is inside. The cushion cover has an envelope style fastening.",14,19,Y,Pink Swirl Waterproof Garden Cushion,https://www.etsy.com/uk/listing/838793935/pink-swirl-waterproof-garden-cushion?ref=shop_home_active_1&frs=1,NA
3,./images/cushions/LP/LPMain.jpg,"A Digitally Printed Waterproof Garden Cushion in Haus of Daisy exclusive print. Made to help you create the outdoor space of your dreams, and add a touch of luxury to your outdoor seating area. The cushion covers are made from a Oxford Waterproof Polyester, which means they are water repellant and can be left outside year round. The cushion covers are made to fit cushions that are 18x18 inch (45x45cm). The covers themselves measure approximately 17x17 inches, so have a nice plump finish when the cushion is inside. The cushion cover has an envelope style fastening.",14,19,Y,Pink Digitally Printed Waterproof Garden Cushion,https://www.etsy.com/uk/listing/824902878/pink-digitally-printed-waterproof-garden?ref=shop_home_active_3&frs=1,NA
4,./images/prints/BlueAbstract/main.jpg,"A contemporary hand drawn digital print, part of our 'Abstract' range. Developed from a collage of buildings made out of scrap metal, I was particularly inspired by nuts and bolts creating the circular shapes. This later developed into the layered industrial looking pattern today. Height: 42 Centimetres; Width: 29.7 Centimetres.",NA,NA,Y,Blue Abstract Digitally Printed Wall Art - A3 Print,https://www.etsy.com/uk/listing/801171724/blue-abstract-digitally-printed-wall-art?ref=shop_home_active_10&frs=1,14
5,./images/prints/Butterfly/main.jpg,"A contemporary Blue Butterfly digital design. Created by layering a modern polka dot inspired print, over a hand drawing of a butterfly. Designed and created by HAUS OF DAISY. Printed on high quality A3 paper ready to be framed. The perfect addition to any home. Height: 42 Centimetres; Width: 29.7 Centimetres.",NA,NA,Y,Blue Butterfly Wall Art - A3 Print,https://www.etsy.com/uk/listing/807871562/blue-butterfly-wall-art-a3-print?ref=shop_home_active_12&frs=1,14
6,./images/prints/LayeredFloral/main.jpg,"A contemporary hand drawn floral digital design, inspired by an English garden. Designed and created by HAUS OF DAISY. Printed on high quality A2 paper ready to be framed. The perfect addition to any home. Height: 59.4 Centimetres; Width: 42 Centimetres.",NA,NA,Y,Layered Floral Wall Art - A2 Print,https://www.etsy.com/uk/listing/815026563/layered-floral-wall-art-a2-print?ref=shop_home_active_4&frs=1&sca=1,18
7,./images/prints/LOVE/main.jpg,"A contemporary hand drawn floral digital design, with the word 'LOVE' across the centre. Background features hand drawn flowers for a bold design. Designed and created by HAUS OF DAISY. Printed on high quality A3 paper ready to be framed. The perfect addition to any home. Height: 42 Centimetres; Width: 29.7 Centimetres.",NA,NA,Y,Quote Floral Wall Art - A3 Print,https://www.etsy.com/uk/listing/801121958/quote-floral-wall-art-a3-print?ref=shop_home_active_13&frs=1,14
8,./images/prints/OhCrab/main.jpeg,"A contemporary sea life inspired hand drawn digital design. Featuring layered crabs, and the humorous phrase 'OH CRAB' across the centre. Designed and created by HAUS OF DAISY. Printed on high quality A3 paper ready to be framed. The perfect addition to any home. Height: 42 Centimetres; Width: 29.7 Centimetres.",NA,NA,Y,Quote Sea life Wall Art - A3 Print,https://www.etsy.com/uk/listing/816111451/quote-sea-life-wall-art-a3-print?ref=shop_home_active_8&frs=1&sca=1,14
9,./images/prints/PinkFloral/main.jpeg,"A contemporary hand drawn floral digital design, in a bold pink shade with blue and white highlights. Designed and created by HAUS OF DAISY. Printed on high quality A2 paper ready to be framed. The perfect addition to any home.",NA,NA,Y,Pink Floral Wall Art - A2 Print,https://www.etsy.com/uk/listing/801067322/pink-floral-wall-art-a2-print?ref=shop_home_active_6&frs=1,18
10,./images/prints/PinkPinapple/main.jpg,A contemporary Pink Pineapple digital design. Created by layering a tropical print design featuring funky sunglasses over a hand drawing of a Pineapple. Designed and created by HAUS OF DAISY. Printed on high quality A3 paper ready to be framed. The perfect addition to any home. Height: 42 Centimetres; Width: 29.7 Centimetres.,NA,NA,Y,Pink Pineapple Wall Art - A3 Print,https://www.etsy.com/uk/listing/819386817/pink-pineapple-wall-art-a3-print?ref=shop_home_active_5&frs=1&sca=1,14
11,./images/prints/PinkSwirl/main.jpg,"A contemporary hand drawn digital print, part of our 'Abstract' range. Designed and created by HAUS OF DAISY. Printed on high quality A3 paper ready to be framed. The perfect addition to any home. Height: 42 Centimetres; Width: 29.7 Centimetres.",NA,NA,Y,Pink Swirl Digitally Printed Wall Art - A3 Print,https://www.etsy.com/uk/listing/815036565/pink-swirl-digitally-printed-wall-art-a3?ref=shop_home_active_7&frs=1,14
12,./images/prints/YellowAbstract/main.jpeg,"A contemporary hand drawn digital print, part of our 'Abstract' range. Developed from a collage of buildings made out of scrap metal, I was particularly inspired by nuts and bolts creating the circular shapes. This later developed into the layered pattern today. Height: 42 Centimetres; Width: 29.7 Centimetres.",NA,NA,Y,Yellow Abstract Digitally Printed Wall Art - A3 Print,https://www.etsy.com/uk/listing/801164008/yellow-abstract-digitally-printed-wall?ref=shop_home_active_11&frs=1,14
13,./images/prints/LiquidFloral/main.jpg,"A contemporary hand drawn floral digital design, which has been 'liquified' in Photoshop to create this stunning piece. Designed and created by HAUS OF DAISY. Printed on high quality A2 paper ready to be framed. The perfect addition to any home. Height: 59.4 Centimetres; Width: 42 Centimetres.",NA,NA,Y,Liquid Floral Wall Art - A2 Print,https://www.etsy.com/uk/listing/815013367/liquid-floral-wall-art-a2-print?ref=shop_home_active_9&frs=1,18
